z,zrel,A,log10A
1228.7,0.516259842519685,5.868,0.7684901051712452
1228.883,0.5161877952755906,5.4344,0.7351516015826706
1229.158,0.5160795275590552,5.804,0.7637274037656983
1234.75,0.5138779527559055,6.1476,0.7887056019239659
1235.025,0.51376968503937,6.4584,0.8101249394753606
1235.117,0.5137334645669291,6.5852,0.8185689695145628
1235.208,0.5136976377952756,5.43,0.7347998295888469
1250.792,0.5075622047244095,7.095599999999999,0.8509891250467304
1250.883,0.5075263779527559,5.521599999999999,0.7420649419474116
1255.467,0.5057216535433071,7.209199999999999,0.8578870740311968
1261.883,0.5031956692913386,7.491599999999999,0.8745745809789142
1261.975,0.5031594488188977,8.822799999999999,0.9456064345162188
1262.067,0.5031232283464566,5.756799999999999,0.7601811416654574
1279.3,0.49633858267716535,7.5132,0.8758249498327413
1279.392,0.49630236220472435,7.189199999999999,0.8566805656379897
1279.575,0.49623031496062986,8.3972,0.9241344971017463
1279.667,0.49619409448818896,6.8908,0.8382696450450218
1281.5,0.49547244094488185,5.2752,0.7222389297990778
1292.5,0.4911417322834646,3.0970999999999997,0.49095522820052323
1292.592,0.4911055118110236,6.066599999999999,0.7829453607723557
1292.683,0.4910696850393701,5.2623,0.7211756032766088
1303.5,0.4868110236220472,7.185199999999999,0.8564388612228555
1314.5,0.48248031496062993,5.7356,0.7585788560749898
1325.592,0.47811338582677165,5.8484,0.7670370684388483
1325.683,0.47807755905511806,7.7529,0.8894641823019885
1336.5,0.4738188976377953,4.6502,0.6674716318208144
1336.592,0.47378267716535427,7.693699999999999,0.8861352478812852
1347.5,0.469488188976378,8.8678,0.9478158896887452
1358.5,0.4651574803149606,6.255199999999999,0.7962412001218094
1358.683,0.46508543307086614,6.8505,0.8357222706626819
1369.5,0.46082677165354335,6.2459,0.7955950266767843
1380.5,0.456496062992126,5.7726,0.7613714650317465
1391.5,0.4521653543307087,6.8598,0.8363114538754732
1391.592,0.4521291338582677,6.4049,0.8065123534738008
1402.5,0.4478346456692913,5.1069,0.708157353866233
1413.5,0.44350393700787405,4.2028,0.6235387235854896
1417.992,0.44173543307086616,6.586099999999999,0.818628320532962
1418.083,0.44169960629921257,4.066,0.6091673743020197
1418.175,0.44166338582677167,6.7655,0.8302998983788287
1418.267,0.44162716535433066,4.5023,0.6534344298034946
1418.45,0.4415551181102362,3.5723,0.5529479235853896
1418.542,0.4415188976377953,4.254499999999999,0.628848527992802
1418.633,0.4414830708661417,4.2065,0.6239208932516295
1418.725,0.4414468503937008,3.3171,0.520758564312233
1418.817,0.4414106299212598,3.465,0.5397032389478256
1424.683,0.4391011811023622,2.4296,0.3855347789102088
1435.5,0.4348425196850394,3.3374,0.5234082616089367
1446.5,0.430511811023622,5.0404,0.7024650028938513
1457.683,0.42610905511811026,3.8829,0.5891562058930924
1468.5,0.42185039370078736,3.2985999999999995,0.5183296546404772
1479.5,0.4175196850393701,5.5562,0.7447778701348874
1490.5,0.4131889763779527,3.0601,0.4857356188798069
1501.5,0.40885826771653544,2.5128,0.4001579233904483
1501.592,0.40882204724409443,2.2114,0.3446673052565517
1512.5,0.40452755905511806,1.5957,0.20295124504024264
1523.5,0.4001968503937008,1.8877999999999997,0.27595598175374353
1523.592,0.4001606299212598,2.0912,0.32039557023646914
1534.5,0.3958661417322835,1.4829,0.17111186518043925
1534.592,0.3958299212598425,1.8267999999999998,0.26169100293496295
1545.5,0.39153543307086613,1.5291,0.18443588830837043
1556.5,0.38720472440944886,1.7159,0.23449197423898832
1567.5,0.3828740157480315,2.2668999999999997,0.355432362470549
1567.592,0.3828377952755905,1.9082,0.28062389151291156
1578.5,0.3785433070866142,1.7214,0.23588179862964206
1589.5,0.37421259842519683,1.7843,0.25146787548352434
1600.5,0.36988188976377956,1.2239999999999998,0.0877814178095423
1611.5,0.3655511811023622,1.4866,0.17219412846693058
